"RiskRegion","Season","Manta"
"San Pablo Bay","Dry",0
"San Pablo Bay","Wet",0
"San Pablo Bay","Wet",0
"San Pablo Bay","Dry",0
"San Pablo Bay","Dry",0
"San Pablo Bay","Dry",0
"San Pablo Bay","Wet",0
"San Pablo Bay","Dry",0
"San Francisco Bay","Wet",0
"San Francisco Bay","Dry",0
"San Francisco Bay","Wet",0
"San Francisco Bay","Wet",0
"San Francisco Bay","Dry",0
"San Francisco Bay","Dry",0
"San Francisco Bay","Wet",5.3e-08
"San Francisco Bay","Dry",6.5e-09
"Coyote","Wet",0
"Coyote","Dry",0
"Coyote","Wet",0
"Coyote","Dry",0
"Coyote","Wet",0
"Coyote","Wet",0
"Coyote","Dry",0
"San Pablo Bay","Wet",0
"San Pablo Bay","Wet",0
"San Pablo Bay","Dry",0
"San Pablo Bay","Wet",0
"San Pablo Bay","Wet",6.6e-09
"San Francisco Bay","Wet",0
"San Francisco Bay","Dry",0
"San Francisco Bay","Wet",0
"San Francisco Bay","Dry",0
"San Francisco Bay","Wet",0
"San Francisco Bay","Dry",0
"San Francisco Bay","Wet",0
"San Francisco Bay","Wet",0
"San Francisco Bay","Dry",1.9e-08
"San Pablo Bay","Dry",0
"San Pablo Bay","Wet",0
"San Pablo Bay","Dry",0
"San Pablo Bay","Wet",0
"San Pablo Bay","Dry",0
"Suisun Bay","Wet",0
"Suisun Bay","Dry",0
